"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"491","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 18:05:06,FALSE,NA,"903680127200002049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bgpurplessports",13,TRUE,FALSE,NA,NA
"492","Door-to-door checks in Houston following Harvey storm nearly complete https://t.co/9LGAO7FzSp https://t.co/DG3sbYZo99",FALSE,1,NA,2017-09-01 18:01:10,FALSE,NA,"903679137025597445",NA,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","WJCLNews",0,FALSE,FALSE,NA,NA
"493","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:57:50,FALSE,NA,"903678296948432898",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LizChow_",23,TRUE,FALSE,NA,NA
"494","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:55:57,FALSE,NA,"903677826116849665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clevelizabeth",23,TRUE,FALSE,NA,NA
"495","RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",FALSE,0,NA,2017-09-01 17:50:26,FALSE,NA,"903676436845707264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bumpyknight",15,TRUE,FALSE,NA,NA
"496","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:41:36,FALSE,NA,"903674214963716096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","futrellannie",13,TRUE,FALSE,NA,NA
"497","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:39:18,FALSE,NA,"903673635520606208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliiviaaa_33",13,TRUE,FALSE,NA,NA
"498","I liked a @YouTube video https://t.co/F0cr9JO3Dm Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017",FALSE,0,NA,2017-09-01 17:38:52,FALSE,NA,"903673525692751873",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","fualtyzane",0,FALSE,FALSE,NA,NA
"499","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:38:10,FALSE,NA,"903673348206546951",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BGHSPurplesNews",13,TRUE,FALSE,NA,NA
"500","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:36:01,FALSE,NA,"903672808483373056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IntrinsicMotive",23,TRUE,FALSE,NA,NA
"501","#Harvey drenched the Delta region as #harvest17 began, with the most crop damage expected among Louisiana farmers: https://t.co/4K65HM4Nb3",FALSE,5,NA,2017-09-01 17:33:45,FALSE,NA,"903672239140347906",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Emily_Unglesbee",5,FALSE,FALSE,NA,NA
"502","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:25:58,FALSE,NA,"903670279402127361",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RappAreaCSB",23,TRUE,FALSE,NA,NA
"503","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:22:31,FALSE,NA,"903669411369951232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DAJ_Murray",13,TRUE,FALSE,NA,NA
"504","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:22:18,FALSE,NA,"903669356793667584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gomccracken",13,TRUE,FALSE,NA,NA
"505","RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",FALSE,0,NA,2017-09-01 17:21:49,FALSE,NA,"903669235456593920",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AgWriterArk",15,TRUE,FALSE,NA,NA
"506","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:16:54,FALSE,NA,"903667996241141760",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SCPdiv12",23,TRUE,FALSE,NA,NA
"507","RT @UKOccHealthSafe: As Tropical Depression Harvey moves into the area, flash flooding is possible.  NEVER drive into high water! 

Turn ar…",FALSE,0,NA,2017-09-01 17:12:14,FALSE,NA,"903666823312408578",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oldham_co",1,TRUE,FALSE,NA,NA
"508","How are Delta farmers fairing after a week of devastating weather? https://t.co/AkENPMVp5U https://t.co/gfEl0xB8ZX",FALSE,0,NA,2017-09-01 17:09:21,FALSE,NA,"903666098326949893",NA,"<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","dtnpf",0,FALSE,FALSE,NA,NA
"509","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 17:08:01,FALSE,NA,"903665763508260865",NA,"<a href=""http://www.kyply.it"" rel=""nofollow"">kyply_bot</a>","USAlert24",23,TRUE,FALSE,NA,NA
"510","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:07:53,FALSE,NA,"903665729429532673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dreamarlowe85",13,TRUE,FALSE,NA,NA
"511","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 17:07:24,FALSE,NA,"903665606343487489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MCHSoccerNation",13,TRUE,FALSE,NA,NA
